,weights,errors
0,-2.0,187.9637862312808
1,-1.8,179.9616631459841
2,-1.6,172.19303174075588
3,-1.4,164.81923352391243
4,-1.2,158.03156836495717
5,-1.0,152.05024416128276
6,-0.8,147.11808657896447
7,-0.6,143.48527843361785
8,-0.4,141.37991684465106
9,-0.2,140.95970754894142
10,0.0,142.25
11,0.2,145.09742078398057
12,0.4,149.18190143911667
13,0.6,154.09387815429588
14,0.8,159.42890805189845
15,1.0,164.85058878012146
16,1.2,170.11227363169223
17,1.4,175.05264524161475
18,1.6,179.58040283629398
19,1.8,183.65660761089774
