mean_area,is_cancerous
1.001,0
1.326,0
1.203,0
0.3861,0
1.297,0
0.4771,0
1.04,0
0.5779,0
0.5197999999999999,0
0.4759,0
0.7978,0
0.781,0
1.123,0
0.7827000000000001,0
0.5782999999999999,0
0.6587999999999999,0
0.6845,0
0.7988,0
1.26,0
0.5662999999999999,1
0.52,1
0.2739,1
0.7044,0
1.404,0
0.9046000000000001,0
0.9127000000000001,0
0.6447999999999999,0
1.094,0
0.7323999999999999,0
0.9551000000000001,0
1.088,0
0.44060000000000005,0
0.8993,0
1.162,0
0.8072,0
0.8695,0
0.633,0
0.5237999999999999,1
0.6988,0
0.5592,0
0.563,0
0.37110000000000004,0
1.104,0
0.5452,0
0.5315,0
1.076,0
0.2019,1
0.5346000000000001,0
0.44930000000000003,1
0.561,1
0.4279,1
0.5718,1
0.43760000000000004,1
1.033,0
0.7128,0
0.409,1
1.152,0
0.6568999999999999,0
0.5272,1
0.2245,1
0.31189999999999996,1
0.22180000000000002,1
0.6457,0
0.26089999999999997,1
0.499,0
0.6683,0
0.2694,1
0.3941,1
0.2505,1
0.5025,1
1.13,0
0.244,1
0.9294,0
0.5841000000000001,0
0.4709,1
0.8177000000000001,0
0.5592,1
1.006,0
1.245,0
0.5063,1
0.4015,1
0.52,1
1.878,0
1.132,0
0.4433,1
1.075,0
0.6482,0
1.076,0
0.4661,1
0.6518999999999999,1
0.6627000000000001,1
0.7282000000000001,0
0.5517000000000001,1
0.5551,1
0.7056,0
1.264,0
0.4511,1
0.2945,1
0.4126,1
0.6425,0
0.5827,0
0.1435,1
0.4587,1
0.2983,1
0.3361,1
0.5302,0
0.4125,1
0.4667,1
1.509,0
0.3965,1
0.2902,1
0.4804,1
0.6299,1
0.3342,1
0.2309,1
0.43860000000000005,1
0.2452,1
0.6825,0
0.7826000000000001,0
0.982,0
0.4033,1
1.077,0
1.761,0
0.6407,1
0.5535,1
0.5887,1
0.5726,0
1.138,0
0.6745,1
1.192,0
0.45580000000000004,1
0.7489,0
0.8098,0
0.7617,1
1.075,0
0.5063,0
0.42360000000000003,1
0.3998,1
0.6781,0
0.38480000000000003,1
0.2885,1
0.813,0
0.398,1
0.5122000000000001,1
0.3553,1
0.4328,1
0.432,0
0.6895,1
0.6401,1
0.585,1
0.5194,1
0.2039,1
0.30019999999999997,1
0.38189999999999996,1
0.5388999999999999,1
0.4603,1
0.9637,0
0.8802000000000001,1
0.4486,1
0.3668,1
0.4198,1
1.157,0
1.214,0
0.4645,1
1.686,0
0.6902,1
0.35760000000000003,1
0.8863,0
0.9846,0
0.6859,1
0.4641,1
0.5654,0
0.7369,0
0.3727,1
0.3496,1
0.22719999999999999,1
0.3024,1
0.8329,0
0.5264,1
0.5088,1
2.25,0
1.311,0
0.7666000000000001,0
0.402,1
0.7106,0
0.3175,1
1.041,0
0.4203,1
0.4289,1
0.4637,1
0.6099,0
0.5074,1
0.2881,1
0.4774,0
0.6714,0
0.5164,1
0.5889,0
1.024,0
1.148,0
0.6427,0
0.461,1
0.9516,0
1.685,0
0.5978,0
0.4819,1
0.7166,0
0.2954,1
0.9043,0
0.5294,1
0.7255,1
1.29,0
0.428,1
2.499,0
0.948,0
0.6107,0
0.5789,0
0.4322,1
0.3212,1
1.23,0
1.223,0
0.5689,1
0.5612999999999999,1
0.31310000000000004,1
0.7613,0
0.5464,1
0.6412,1
0.3296,1
0.6845,1
0.49639999999999995,1
0.5032,0
0.895,0
0.3957,1
0.38680000000000003,1
1.319,0
0.2796,1
0.6033999999999999,1
1.67,0
1.306,0
0.6239,1
0.9206,0
0.5752999999999999,1
0.4765,1
0.38939999999999997,1
0.59,1
1.155,0
0.3377,1
0.5416,1
0.5122000000000001,1
0.347,1
0.4063,1
1.364,0
0.4074,1
1.206,0
0.9282,0
1.169,0
0.6023999999999999,0
1.207,0
0.7132999999999999,0
0.7735,0
0.7449,0
1.288,0
0.9331,0
0.9478,0
0.7586,0
0.9282999999999999,0
1.419,0
0.3464,1
0.561,1
0.5122000000000001,1
0.3449,1
0.6326,1
0.388,1
1.491,0
0.2899,1
0.9989,0
0.43560000000000004,1
0.3966,1
1.102,0
0.5722999999999999,1
0.5873999999999999,1
1.138,0
0.4273,1
1.145,0
0.8051,0
0.5166000000000001,1
0.489,1
0.441,1
0.5159,1
0.3941,1
0.396,1
0.651,1
0.6872999999999999,1
0.5137,1
0.4327,1
0.49210000000000004,1
0.5827,1
0.36369999999999997,1
0.43110000000000004,0
0.6331,1
0.3342,1
1.217,0
0.4713,1
1.247,0
0.3343,1
0.4031,1
0.4172,1
0.5373,1
0.24630000000000002,1
0.5662,1
0.5306000000000001,1
0.41869999999999996,1
0.6648999999999999,1
0.5041,1
0.4091,1
0.22119999999999998,1
0.48160000000000003,1
0.4614,1
1.027,0
0.2445,1
0.4773,1
0.3242,1
1.274,0
0.5048,1
1.264,0
0.4579,1
0.4899,1
0.6165,1
0.446,1
0.8137000000000001,0
0.8268,0
0.7932,0
0.514,1
0.38730000000000003,1
0.39,1
0.4644,1
0.9186,0
0.5143,1
1.092,0
0.3108,1
1.747,0
0.6412,1
0.2805,1
0.37389999999999995,1
1.194,0
0.4203,1
0.3216,1
0.44530000000000003,1
0.6687000000000001,1
0.4027,1
0.42669999999999997,1
0.421,1
0.7586,0
2.01,0
0.7166,0
0.3846,1
0.4858,1
0.512,1
0.5937,1
0.241,1
0.2786,1
0.4919,1
0.5461,1
0.49660000000000004,1
0.8381000000000001,1
0.5524,1
1.293,0
1.234,0
0.4584,1
1.546,0
1.482,0
0.8403999999999999,0
0.7118,1
1.386,0
1.335,0
0.5791000000000001,1
0.7885,1
0.3383,1
0.5621,1
0.5806,1
0.36160000000000003,0
0.38630000000000003,1
0.3727,1
0.44780000000000003,1
0.4629,1
0.5418,1
0.6647000000000001,0
0.462,1
0.5966,1
0.392,1
1.174,0
0.3216,1
0.2343,1
0.7447,0
1.407,0
0.4462,1
0.6091,1
0.5581,1
0.5083,1
0.3782,1
0.43189999999999995,1
0.994,0
0.4427,1
0.5252,1
0.5076,1
0.4691,1
0.37,1
0.8,1
0.5145,1
0.9917,0
0.4661,1
0.3998,1
0.3732,1
0.26880000000000004,1
0.6937000000000001,1
0.7195,0
0.4338,1
0.2712,1
0.8031,0
0.495,1
0.3803,1
0.4097,1
0.6561,1
0.4082,1
0.5752999999999999,1
0.2897,1
0.3073,1
0.3336,1
0.3599,1
0.38110000000000005,1
0.5013,1
0.685,0
0.4678,1
1.25,0
1.11,0
0.6737000000000001,1
0.5995,0
0.5092,1
0.6112000000000001,1
0.5926,1
0.6065,1
0.3715,1
0.9288,0
0.5859,1
0.3409,1
0.99,0
0.4413,1
0.9816,0
0.6748,1
0.6597000000000001,1
1.384,0
0.432,1
1.191,0
0.4425,1
0.6442,1
0.4929,1
0.5572,1
0.4151,1
0.5378999999999999,1
0.5202,1
0.2909,1
0.9309,0
2.501,0
0.6461,1
0.4127,1
0.5373,1
0.5428999999999999,1
0.5368999999999999,1
0.2863,1
0.9805,0
0.4088,1
0.2891,1
0.44989999999999997,1
0.6869,1
0.4654,1
0.3589,1
0.5069,1
0.6184,1
0.5993999999999999,1
0.4049,1
0.8158,0
0.45530000000000004,1
0.6029,1
0.5463,1
0.5711,1
0.7472000000000001,1
0.4767,1
0.666,1
1.167,0
0.4205,1
0.8576,0
0.4665,1
0.9921,1
1.007,0
0.4773,1
0.5387000000000001,1
0.6809,1
0.48560000000000003,1
0.4801,1
1.068,0
1.32,0
0.6894,1
0.5959,0
0.4763,1
1.682,0
0.24869999999999998,1
0.2725,1
0.4531,1
0.3665,1
0.8198,1
0.7313,0
0.426,1
0.6807000000000001,1
0.5567000000000001,0
0.6587999999999999,1
0.7019,0
0.3912,1
1.052,0
1.214,0
0.49310000000000004,1
0.4938,1
0.25780000000000003,1
1.841,0
0.3881,1
0.571,1
0.2932,1
0.22130000000000002,1
0.5511,1
0.4685,1
0.5942000000000001,1
0.4452,1
0.4229,1
0.4162,1
0.5755,1
1.299,0
0.36560000000000004,1
1.308,0
0.6297999999999999,0
0.4064,1
0.17880000000000001,1
0.1704,1
0.4029,1
0.6564,1
0.6686,1
0.5384,1
0.5848,1
0.5732,1
